filename,date&time,labeled length (pixels),automated length (pixels),difference in measurement (pixels)
IMG_0001.JPG,03-Dec-2020 14:00:00,1,,
IMG_0002.JPG,03-Dec-2020 15:00:00,727,766.33139,-39.3
IMG_0019.JPG,04-Dec-2020 08:00:00,727,672.24213,54.8
IMG_0020.JPG,04-Dec-2020 09:00:00,725,331.67689,393.3
IMG_0021.JPG,04-Dec-2020 10:00:00,656,443.18055,212.8
IMG_0022.JPG,04-Dec-2020 11:00:00,654,622.3228,31.7
IMG_0023.JPG,04-Dec-2020 12:00:00,654,736.62608,-82.6
IMG_0024.JPG,04-Dec-2020 13:00:00,656,753.88788,-97.9
IMG_0025.JPG,04-Dec-2020 14:00:00,654,757.07482,-103.1
IMG_0026.JPG,04-Dec-2020 15:00:00,656,759.84246,-103.8
IMG_0043.JPG,05-Dec-2020 08:00:00,658,729.0673,-71.1
IMG_0044.JPG,05-Dec-2020 09:00:00,658,767.61436,-109.6
IMG_0045.JPG,05-Dec-2020 10:00:00,660,396.11843,263.9
IMG_0046.JPG,05-Dec-2020 11:00:00,660,528.00095,132.0
IMG_0047.JPG,05-Dec-2020 12:00:00,658,772.3441,-114.3
IMG_0048.JPG,05-Dec-2020 13:00:00,656,775.29999,-119.3
IMG_0049.JPG,05-Dec-2020 14:00:00,660,772.3441,-112.3
IMG_0050.JPG,05-Dec-2020 15:00:00,658,455.18929,202.8
IMG_0067.JPG,06-Dec-2020 08:00:00,660,727.1634,-67.2
IMG_0068.JPG,06-Dec-2020 09:00:00,658,761.88466,-103.9
IMG_0069.JPG,06-Dec-2020 10:00:00,656,745.27105,-89.3
IMG_0070.JPG,06-Dec-2020 11:00:00,662,745.28589,-83.3
IMG_0071.JPG,06-Dec-2020 12:00:00,658,599.00334,59.0
IMG_0072.JPG,06-Dec-2020 13:00:00,660,562.00089,98.0
IMG_0073.JPG,06-Dec-2020 14:00:00,662,731.07038,-69.1
IMG_0074.JPG,06-Dec-2020 15:00:00,664,761.11662,-97.1
IMG_0092.JPG,07-Dec-2020 09:00:00,660,361.35729,298.6
IMG_0093.JPG,07-Dec-2020 10:00:00,660,557.0009,103.0
IMG_0094.JPG,07-Dec-2020 11:00:00,660,746.27138,-86.3
IMG_0095.JPG,07-Dec-2020 12:00:00,660,746.28624,-86.3
IMG_0096.JPG,07-Dec-2020 13:00:00,660,746.2592,-86.3
IMG_0097.JPG,07-Dec-2020 14:00:00,658,741.97303,-84.0
IMG_0098.JPG,07-Dec-2020 15:00:00,666,731.96014,-66.0
IMG_0115.JPG,08-Dec-2020 08:00:00,670,750.98547,-81.0
IMG_0116.JPG,08-Dec-2020 09:00:00,668,752.45492,-84.5
IMG_0117.JPG,08-Dec-2020 10:00:00,668,754.26199,-86.3
IMG_0118.JPG,08-Dec-2020 11:00:00,668,754.91647,-86.9
IMG_0119.JPG,08-Dec-2020 12:00:00,672,750.6924,-78.7
IMG_0120.JPG,08-Dec-2020 13:00:00,676,758.10599,-82.1
IMG_0121.JPG,08-Dec-2020 14:00:00,680,759.99692,-80.0
IMG_0122.JPG,08-Dec-2020 15:00:00,680,760.99929,-81.0
IMG_0139.JPG,09-Dec-2020 08:00:00,690,768.69625,-78.7
IMG_0140.JPG,09-Dec-2020 09:00:00,690,774.28055,-84.3
IMG_0141.JPG,09-Dec-2020 10:00:00,692,774.30933,-82.3
IMG_0142.JPG,09-Dec-2020 11:00:00,690,764.31944,-74.3
IMG_0143.JPG,09-Dec-2020 12:00:00,690,767.9222,-77.9
IMG_0144.JPG,09-Dec-2020 13:00:00,688,803.10524,-115.1
IMG_0145.JPG,09-Dec-2020 14:00:00,690,765.05534,-75.1
IMG_0146.JPG,09-Dec-2020 15:00:00,686,800.72528,-114.7
IMG_0163.JPG,10-Dec-2020 08:00:00,688,715.33842,-27.3
IMG_0164.JPG,10-Dec-2020 09:00:00,690,757.2729,-67.3
IMG_0165.JPG,10-Dec-2020 10:00:00,688,529.66232,158.3
IMG_0166.JPG,10-Dec-2020 11:00:00,692,767.11914,-75.1
IMG_0167.JPG,10-Dec-2020 12:00:00,692,773.06778,-81.1
IMG_0168.JPG,10-Dec-2020 13:00:00,690,767.94143,-77.9
IMG_0169.JPG,10-Dec-2020 14:00:00,690,776.28121,-86.3
IMG_0170.JPG,10-Dec-2020 15:00:00,690,756.26979,-66.3
IMG_0188.JPG,11-Dec-2020 09:00:00,694,768.27858,-74.3
IMG_0189.JPG,11-Dec-2020 10:00:00,688,420.08107,267.9
IMG_0190.JPG,11-Dec-2020 11:00:00,686,525.00095,161.0
IMG_0191.JPG,11-Dec-2020 12:00:00,684,418.08558,265.9
IMG_0192.JPG,11-Dec-2020 13:00:00,686,764.26542,-78.3
IMG_0193.JPG,11-Dec-2020 14:00:00,686,764.26482,-78.3
IMG_0194.JPG,11-Dec-2020 15:00:00,686,763.26512,-77.3
IMG_0211.JPG,12-Dec-2020 08:00:00,684,524.00382,160.0
IMG_0212.JPG,12-Dec-2020 09:00:00,684,765.76294,-81.8
IMG_0213.JPG,12-Dec-2020 10:00:00,684,528.0,156.0
IMG_0214.JPG,12-Dec-2020 11:00:00,686,523.00096,163.0
IMG_0215.JPG,12-Dec-2020 12:00:00,686,390.11041,295.9
IMG_0216.JPG,12-Dec-2020 13:00:00,684,381.10086,302.9
IMG_0217.JPG,12-Dec-2020 14:00:00,684,523.00096,161.0
IMG_0218.JPG,12-Dec-2020 15:00:00,686,536.00093,150.0
IMG_0236.JPG,13-Dec-2020 09:00:00,682,761.00178,-79.0
IMG_0237.JPG,13-Dec-2020 10:00:00,682,758.27531,-76.3
IMG_0238.JPG,13-Dec-2020 11:00:00,682,762.79777,-80.8
IMG_0239.JPG,13-Dec-2020 12:00:00,684,758.26338,-74.3
IMG_0240.JPG,13-Dec-2020 13:00:00,680,755.27432,-75.3
IMG_0241.JPG,13-Dec-2020 14:00:00,680,757.29005,-77.3
IMG_0242.JPG,13-Dec-2020 15:00:00,684,399.11351,284.9
IMG_0259.JPG,14-Dec-2020 08:00:00,678,755.97917,-78.0
IMG_0260.JPG,14-Dec-2020 09:00:00,678,752.2613,-74.3
IMG_0261.JPG,14-Dec-2020 10:00:00,680,740.478,-60.5
IMG_0262.JPG,14-Dec-2020 11:00:00,678,756.10307,-78.1
IMG_0263.JPG,14-Dec-2020 12:00:00,680,753.26164,-73.3
IMG_0264.JPG,14-Dec-2020 13:00:00,678,561.0,117.0
IMG_0265.JPG,14-Dec-2020 14:00:00,680,575.00087,105.0
IMG_0266.JPG,14-Dec-2020 15:00:00,680,544.00092,136.0
IMG_0284.JPG,15-Dec-2020 09:00:00,650,724.76202,-74.8
IMG_0285.JPG,15-Dec-2020 10:00:00,646,730.29336,-84.3
IMG_0286.JPG,15-Dec-2020 11:00:00,648,731.39097,-83.4
IMG_0287.JPG,15-Dec-2020 12:00:00,644,501.80324,142.2
IMG_0288.JPG,15-Dec-2020 13:00:00,646,721.35818,-75.4
IMG_0289.JPG,15-Dec-2020 14:00:00,639,584.46425,54.5
IMG_0290.JPG,15-Dec-2020 15:00:00,639,432.21568,206.8
IMG_0307.JPG,16-Dec-2020 08:00:00,646,733.16278,-87.2
IMG_0308.JPG,16-Dec-2020 09:00:00,646,739.13286,-93.1
IMG_0309.JPG,16-Dec-2020 10:00:00,646,727.27959,-81.3
IMG_0310.JPG,16-Dec-2020 11:00:00,646,729.26581,-83.3
IMG_0311.JPG,16-Dec-2020 12:00:00,646,720.10511,-74.1
IMG_0312.JPG,16-Dec-2020 13:00:00,646,710.0007,-64.0
IMG_0313.JPG,16-Dec-2020 14:00:00,650,716.39463,-66.4
IMG_0314.JPG,16-Dec-2020 15:00:00,648,723.05481,-75.1
IMG_0331.JPG,17-Dec-2020 08:00:00,631,702.97096,-72.0
IMG_0332.JPG,17-Dec-2020 09:00:00,631,705.92328,-74.9
IMG_0333.JPG,17-Dec-2020 10:00:00,633,526.94881,106.1
IMG_0334.JPG,17-Dec-2020 11:00:00,635,704.28537,-69.3
IMG_0335.JPG,17-Dec-2020 12:00:00,631,703.97234,-73.0
IMG_0336.JPG,17-Dec-2020 13:00:00,635,702.29579,-67.3
IMG_0337.JPG,17-Dec-2020 14:00:00,633,704.28388,-71.3
IMG_0338.JPG,17-Dec-2020 15:00:00,635,503.92144,131.1
IMG_0355.JPG,18-Dec-2020 08:00:00,633,708.31805,-75.3
